key,example,source,context,it,zh-hans,zh-hant,fr,de,id,ja,pl,ko,pt,ru,es,th,tr,vi,cs
,Other player page,Block Player,,,,,,,,,,,,,,,,,Blokovat Hráče
,Settings Page,Preferences,,,,,,,,,,,,,,,,,Předvolby
,Settings Page,Leave Experience,,,,,,,,,,,,,,,,,Opustit Zážitek
,WIP Page,This page of the menu is unfinished. Please press Back to go back to the main menu.,,,,,,,,,,,,,,,,,"Tato stránka od nabídky je nedokončená. Prosím klik ""Zpátky"" abyste mohli vrátit se do hlavní nabídky"
,Leave Experience,Are you sure you want to leave the experience and head back to the Roblox app? All unsaved data will be lost.,,,,,,,,,,,,,,,,,Jste jistí že chcete opustit zážitek a jít hned zpátky do Roblox appky? Všechna neuložená data budou ztracena.
,Other player page,Send Friend Request,,,,,,,,,,,,,,,,,Odeslat žádost o přátelství
,Friends Status (unused),Last online {number1} days ago,,,,,,,,,,,,,,,,,Naposledy online před {number1} dny
,Friends Status,Online,,,,,,,,,,,,,,,,,Online
,Badge title,Welcome!,,,,,,,,,,,,,,,,,Vítejte!
,Generic loading,Loading...,,,,,,,,,,,,,,,,,Načít se...
,Other Experiences,[TEMPORARY] Windows XP Gui Test,,,,,,,,,,,,,,,,,[DOČASNÝ] Windows XP Gui Test
,Experiences page,Other Experiences,,,,,,,,,,,,,,,,,Jiné Zážitky
,Player page,Member,,,,,,,,,,,,,,,,,Člen
,Other Experiences,[EoL] Windows XP Gui Test Debug Place,,,,,,,,,,,,,,,,,[EoL] Windows XP Gui Test Odladění Prostor
,Other player page,Unblock,,,,,,,,,,,,,,,,,Odblokovat
,Player page,Change Image,,,,,,,,,,,,,,,,,Změnit obraz
,Popup/error,Ok,,,,,,,,,,,,,,,,,Ok
,Settings Blade/Page,Settings,,,,,,,,,,,,,,,,,Nastavení
,Basically any page,Select,,,,,,,,,,,,,,,,,Vybrat
,Other Experiences,[EoL] iOS {number1},,,,,,,,,,,,,,,,,[EoL] iOS {number1}
,Console error screen,"An error occoured during the teleport, which causes the OS Menu to break on consoles. Please open the Roblox menu, select ""Menu"", then close the menu to fix the virtual cursor. You must do this or the OS Menu WILL break.",,,,,,,,,,,,,,,,,"Během teleportu došlo k chybě, která způsobuje OS nabídku zkazit na konzolích. Otevřete Roblox nabídku, vyberte ""Menu"" a pak zavřete nabídku, abyste jste mohli opravit váš virtuální kurzor. Musíte to udělat, jinak se OS NABÍDKA SE ROZBIJE."
,Achievment popup,Achievement Unlocked!,,,,,,,,,,,,,,,,,Úspěch Odemčen!
,Settings page,Theme,,,,,,,,,,,,,,,,,Motivy
,Teleporting page,Teleporting...,,,,,,,,,,,,,,,,,Teleportuje se…
,Player page,Creator,,,,,,,,,,,,,,,,,Tvůrce
,Popup/error,No,,,,,,,,,,,,,,,,,Ne
,Friend page,Join Experience,,,,,,,,,,,,,,,,,Připojit k Zážitku
,Friend page,Offline,,,,,,,,,,,,,,,,,Offline
,Player page,View Avatar,,,,,,,,,,,,,,,,,Zobrazit Avatar
,Basically any page,Back,,,,,,,,,,,,,,,,,Zpátky
,Placeholder game name,Crossroads,,,,,,,,,,,,,,,,,Křižovatka
,Settings page,Profile,,,,,,,,,,,,,,,,,Profil
,Home/Players page,OS Menu,,,,,,,,,,,,,,,,,OS Nabídka
,Player page,Chat,,,,,,,,,,,,,,,,,Chat
,Teleport to place,Are you sure you want to leave the experience and play OS Menu? All unsaved data will be lost.,,,,,,,,,,,,,,,,,"Jste jistí že chcete opustit zážitek a hrát ""OS Nabídku""? Všechna neuložená data budou ztracena"
,Friend join Error,"You are unable to join this friend because their joins are off, or they have left the experience they're in.",,,,,,,,,,,,,,,,,"K tomuto příteli se nemůžete připojit, protože jeho připojení jsou vypnutá nebo opustil zážitek, kde před chvílí byli."
,Other Experiences,Windows XP Gui Test,,,,,,,,,,,,,,,,,Windows XP Gui Test
,Home page,Players,,,,,,,,,,,,,,,,,Hráči
,Settings page,Notifications,,,,,,,,,,,,,,,,,Oznámení
,Teleport to place,Are you sure you want to leave the experience and play,,,,,,,,,,,,,,,,,Jste jistí že chcete opustit zážitek a hrát
,Teleport to place,? All unsaved data will be lost.,,,,,,,,,,,,,,,,,? Všechna neuložená data budou ztracena
,Popup/error,Yes,,,,,,,,,,,,,,,,,Ano
,Game title,Roblox,,,,,,,,,,,,,,,,,Roblox
,Other Experiences,Windows RT Gui Test (not clickbait),,,,,,,,,,,,,,,,,Windows RT Gui Test (not clickbait)
,Home page,Close Menu,,,,,,,,,,,,,,,,,Zavřít Nabídku 
,Other player page,Unfriend,,,,,,,,,,,,,,,,,Odebrat z Přatel 
,Experiences page,Achievements,,,,,,,,,,,,,,,,,Úspěchy
,Player page,Device,,,,,,,,,,,,,,,,,Zařízení
,Player page,Enabled,,,,,,,,,,,,,,,,,Povoleno
,Player page,Rank,,,,,,,,,,,,,,,,,Postavení
,Other player page,Block,,,,,,,,,,,,,,,,,Blokovat
,Player page,PC,,,,,,,,,,,,,,,,,Počítač
,Experiences blade,Experiences,,,,,,,,,,,,,,,,,Zážitky
,Home page,Friends,,,,,,,,,,,,,,,,,Přátelé
,Other Experiences,[EoL] Windows XP Gui Test,,,,,,,,,,,,,,,,,[EoL] Windows XP Gui Test
,Player page,Tester,,,,,,,,,,,,,,,,,Tester
,Player page,Translator,,,,,,,,,,,,,,,,,Překladatel
,Player page,Developer,,,,,,,,,,,,,,,,,Vývojář
,Player page,Admin,,,,,,,,,,,,,,,,,Admin
,Player page,Trial Admin,,,,,,,,,,,,,,,,,Zkušební Admin.
,Player page,Mobile,,,,,,,,,,,,,,,,,Mobil
,Player page,Tablet PC,,,,,,,,,,,,,,,,,Tabletoví Počítač
,Player page,VR,,,,,,,,,,,,,,,,,VR
,Player page,Console,,,,,,,,,,,,,,,,,Konsole
,Player page,Disabled,,,,,,,,,,,,,,,,,Zakázáno
,Player page,Cool Person,,,,,,,,,,,,,,,,,Hustý Člověk
,Badge title,Completed Setup!,,,,,,,,,,,,,,,,,Dokončil si Nastavení!
,Badge title,The Dancing Man,,,,,,,,,,,,,,,,,Tančící Člověk
